folder_name,file_name,size_bytes,server_modified,path_display,id
2025_06_30,0001902826_0001085146_25_004434_2025_06_30.parquet,23191,2025-12-14T11:25:36,/Nizar/sec_forms/2025_06_30/0001902826_0001085146_25_004434_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7pg
2025_06_30,0001902024_0001085146_25_004088_2025_06_30.parquet,19013,2025-12-14T11:25:39,/Nizar/sec_forms/2025_06_30/0001902024_0001085146_25_004088_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7pw
2025_06_30,0001901865_0000919574_25_004703_2025_06_30.parquet,20904,2025-12-14T11:25:41,/Nizar/sec_forms/2025_06_30/0001901865_0000919574_25_004703_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7qA
2025_06_30,0001901361_0001901361_25_000006_2025_06_30.parquet,17561,2025-12-14T11:25:43,/Nizar/sec_forms/2025_06_30/0001901361_0001901361_25_000006_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7qQ
2025_06_30,0001901337_0001085146_25_003980_2025_06_30.parquet,19275,2025-12-14T11:25:46,/Nizar/sec_forms/2025_06_30/0001901337_0001085146_25_003980_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7qg
2025_06_30,0001901275_0001901275_25_000012_2025_06_30.parquet,114071,2025-12-14T11:25:48,/Nizar/sec_forms/2025_06_30/0001901275_0001901275_25_000012_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7qw
2025_06_30,0001901222_0001376474_25_000743_2025_06_30.parquet,17021,2025-12-14T11:25:50,/Nizar/sec_forms/2025_06_30/0001901222_0001376474_25_000743_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7rA
2025_06_30,0001900946_0001900946_25_000005_2025_06_30.parquet,30479,2025-12-14T11:25:52,/Nizar/sec_forms/2025_06_30/0001900946_0001900946_25_000005_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7rQ
2025_06_30,0001900899_0000950157_25_000673_2025_06_30.parquet,10805,2025-12-14T11:25:54,/Nizar/sec_forms/2025_06_30/0001900899_0000950157_25_000673_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7rg
2025_06_30,0001900584_0001900584_25_000005_2025_06_30.parquet,24416,2025-12-14T11:25:57,/Nizar/sec_forms/2025_06_30/0001900584_0001900584_25_000005_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7rw
2025_06_30,0001900576_0001900576_25_000007_2025_06_30.parquet,18027,2025-12-14T11:25:59,/Nizar/sec_forms/2025_06_30/0001900576_0001900576_25_000007_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7sA
2025_06_30,0001900481_0001900481_25_000008_2025_06_30.parquet,22149,2025-12-14T11:26:01,/Nizar/sec_forms/2025_06_30/0001900481_0001900481_25_000008_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7sQ
2025_06_30,0001900406_0001900406_25_000005_2025_06_30.parquet,20755,2025-12-14T11:26:03,/Nizar/sec_forms/2025_06_30/0001900406_0001900406_25_000005_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7sg
2025_06_30,0001899384_0000315066_25_002228_2025_06_30.parquet,10805,2025-12-14T11:26:05,/Nizar/sec_forms/2025_06_30/0001899384_0000315066_25_002228_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7sw
2025_06_30,0001899030_0000950123_25_006597_2025_06_30.parquet,48403,2025-12-14T11:26:07,/Nizar/sec_forms/2025_06_30/0001899030_0000950123_25_006597_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7tA
2025_06_30,0001898772_0001346554_25_000066_2025_06_30.parquet,14950,2025-12-14T11:26:09,/Nizar/sec_forms/2025_06_30/0001898772_0001346554_25_000066_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7tQ
2025_06_30,0001898145_0001898145_25_000004_2025_06_30.parquet,16060,2025-12-14T11:26:11,/Nizar/sec_forms/2025_06_30/0001898145_0001898145_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7tg
2025_06_30,0001897700_0001667731_25_000804_2025_06_30.parquet,19117,2025-12-14T11:26:13,/Nizar/sec_forms/2025_06_30/0001897700_0001667731_25_000804_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7tw
2025_06_30,0001897270_0001415889_25_021636_2025_06_30.parquet,10805,2025-12-14T11:26:15,/Nizar/sec_forms/2025_06_30/0001897270_0001415889_25_021636_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7uA
2025_06_30,0001897071_0001085146_25_003717_2025_06_30.parquet,17194,2025-12-14T11:26:17,/Nizar/sec_forms/2025_06_30/0001897071_0001085146_25_003717_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7uQ
2025_06_30,0001896447_0001896447_25_000006_2025_06_30.parquet,16101,2025-12-14T11:26:20,/Nizar/sec_forms/2025_06_30/0001896447_0001896447_25_000006_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7ug
2025_06_30,0001896419_0001896419_25_000006_2025_06_30.parquet,23083,2025-12-14T11:26:22,/Nizar/sec_forms/2025_06_30/0001896419_0001896419_25_000006_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7uw
2025_06_30,0001896150_0001896150_25_000020_2025_06_30.parquet,32546,2025-12-14T11:26:24,/Nizar/sec_forms/2025_06_30/0001896150_0001896150_25_000020_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7vA
2025_06_30,0001895678_0001895678_25_000004_2025_06_30.parquet,15851,2025-12-14T11:26:26,/Nizar/sec_forms/2025_06_30/0001895678_0001895678_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7vQ
2025_06_30,0001895362_0001895362_25_000007_2025_06_30.parquet,29408,2025-12-14T11:26:28,/Nizar/sec_forms/2025_06_30/0001895362_0001895362_25_000007_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7vg
2025_06_30,0001895231_0000950123_25_008469_2025_06_30.parquet,10805,2025-12-14T11:26:30,/Nizar/sec_forms/2025_06_30/0001895231_0000950123_25_008469_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7wA
2025_06_30,0001894712_0001894712_25_000003_2025_06_30.parquet,56846,2025-12-14T11:26:32,/Nizar/sec_forms/2025_06_30/0001894712_0001894712_25_000003_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7wQ
